Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Brazil,1975,7,18,1975,7,25,118,"748,000","80,000","254,900,000","1,019,600,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1983,1,,1983,1,6,68,"3,000,000","8,000","12,000,000","26,086,957",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1984,6,26,1984,8,15,27,"250,000","30,000","1,000,000,000","2,083,333,333",http://pdf.usaid.gov/pdf_docs/pbaab303.pdf,,,,,
Brazil,1985,1,15,1985,2,2,229,,,"2,000,000,000","4,081,632,653",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Brazil,1987,1,26,1987,1,26,95,9000,,"62,000,000","119,230,769",EM-DAT,,,,,
Brazil,1988,2,2,1988,2,2,289,3020734,,"1,000,000,000","1,851,851,852",EM-DAT,,,,,
Brazil,1988,7,,,,,66,"50,000","50,000","30,000,000","55,555,556",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Brazil,1989,4,8,1989,4,15,34,,,"650,000","1,140,351",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Brazil,1991,3,19,1991,3,31,20,17000,,"2,000,000","3,225,806",EM-DAT,,,,,
Brazil,1992,2,1,1992,2,12,41,19500,,"25,800,000","40,312,500",EM-DAT,,,,,
Brazil,1995,12,25,1995,12,25,92,30000,,"3,000,000","4,285,714",EM-DAT,,,,,
Brazil,1998,4,11,1998,5,8,0,0,,"1,000,000","1,333,333",EM-DAT,,,,,
Brazil,2000,7,30,2000,8,17,70,,,"75,000,000","94,936,709",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Brazil,2001,12,24,2001,12,25,50,1946,,"45,000,000","55,555,556",EM-DAT,,,,,
Brazil,2002,1,2,2002,1,4,,,,"7,000,000","8,536,585",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Brazil,2003,12,,2004,2,19,161,175470,,"303,000,000","348,275,862",EM-DAT,,,,,
Brazil,2004,6,1,2004,6,2,28,2254,,"370,000","425,287",EM-DAT,,,,,
Brazil,2007,1,1,2007,1,12,59,200080,,"125,000,000","131,578,947",EM-DAT,,,,,
Brazil,2008,3,30,2008,4,22,36,,,"390,000,000","393,939,394",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Brazil,2008,11,22,2008,11,24,151,1500015,,"750,000,000","757,575,758",EM-DAT,,,,,
Brazil,2009,4,22,2009,5,14,56,1150900,,"550,000,000","561,224,490",EM-DAT,,,,,
Brazil,2009,11,21,2009,11,30,11,10000,,"50,000,000","51,020,408",EM-DAT,,,,,
Brazil,2010,4,4,2010,4,12,256,74938,,"200,000,000","200,000,000",EM-DAT,,,,,
Brazil,2010,6,19,2010,6,23,72,157000,,"602,000,000","602,000,000",EM-DAT,,,,,
Brazil,2011,1,11,2011,1,12,900,45000,,"1,000,000,000","970,873,786",EM-DAT,,,,,
Brazil,2012,5,1,2012,5,20,0,210000,,"171,000,000","162,857,143",EM-DAT,,,,,
Brazil,2013,3,17,2013,3,18,30,1510,,"1,500,000","1,401,869",EM-DAT,,,,,
Brazil,2013,12,17,2014,1,4,64,43300,,"540,000,000","495,412,844",EM-DAT,,,,,
Bulgaria,2002,8,10,2002,8,11,1,0,,"1,000,000","1,219,512",EM-DAT,,,,,
Bulgaria,2005,5,26,2005,6,13,6,,,"10,000,000","11,111,111",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Bulgaria,2005,7,2,2005,7,6,17,200,,"247,000,000","274,444,444",EM-DAT,,,,,
Bulgaria,2005,8,14,2005,8,26,7,0,,"200,000,000","222,222,222",EM-DAT,,,,,
Bulgaria,2012,2,1,2012,2,6,5,37950,,"4,400,000","4,190,476",EM-DAT,,,,,
Bulgaria,2014,6,19,2014,6,25,15,1260,,"377,000,000","345,871,560",EM-DAT,,,,,
Bulgaria,2014,9,4,2014,9,6,3,0,,"10,000,000","9,174,312",EM-DAT,,,,,
Burkina Faso,2009,9,1,2009,9,1,9,151000,,"150,000,000","153,061,224",EM-DAT,,,,,
Burkina Faso,2010,7,21,2010,9,,16,133362,,"176,000","176,000",EM-DAT,,,,,
Cambodia,1991,8,22,1991,8,30,100,900000,,"150,000,000","241,935,484",EM-DAT,,,,,
Cambodia,1996,9,27,1996,10,4,46,,,"5,100,000","7,083,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html;UN Department of Humanitarian Affairs,,,,,
Cambodia,1999,8,2,1999,8,8,9,,,"3,000,000","3,947,368",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Cambodia,2000,7,11,2000,8,10,347,3448053,,"160,000,000","202,531,646",EM-DAT,,,,,
Cambodia,2000,8,28,2000,11,3,1139,,,"782,000,000","989,873,418",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Cambodia,2001,8,15,2001,11,19,56,1669182,,"15,000,000","18,518,519",EM-DAT,,,,,
Cambodia,2002,8,18,2002,11,26,29,1470000,,"100,000","121,951",EM-DAT,,,,,
Cambodia,2007,8,10,2007,8,24,2,19000,,"1,000,000","1,052,632",EM-DAT,,,,,
Cambodia,2010,10,20,2010,11,9,8,0,,"70,000,000","70,000,000",EM-DAT,,,,,
Cambodia,2011,8,10,2011,11,1,247,1640023,,"521,000,000","505,825,243",EM-DAT,,,,,
Cambodia,2013,9,24,2013,10,14,200,1500000,,"500,000,000","467,289,720",EM-DAT,,,,,
Canada,1974,4,,1974,4,,0,0,,"14,500,000","63,043,478",EM-DAT,,,,,
Canada,1974,,,1974,,,0,0,,"75,000,000","326,086,957",EM-DAT,,,,,
Canada,1976,,,1976,,,0,0,,"20,000,000","76,923,077",EM-DAT,,,,,
Canada,1979,4,,1979,4,,0,0,,"19,000,000","57,575,758",EM-DAT,,,,,
Canada,1983,12,7,1983,12,7,0,0,,"58,000,000","126,086,957",EM-DAT,,,,,
Canada,1986,7,15,1986,7,15,0,4500,,30000000,"60,000,000",EM-DAT,,,,,
Canada,1987,4,2,1987,4,2,0,0,,"11,000,000","21,153,846",EM-DAT,,,,,
Canada,1987,7,14,1987,7,14,1,0,,"174,000,000","334,615,385",EM-DAT,,,,,
Canada,1988,6,,1988,6,,2,0,,"15,000,000","27,777,778",EM-DAT,,,,,
Canada,1990,6,10,1990,6,10,8,0,,"8,500,000",14166666.67,EM-DAT,,,,,
Canada,1995,6,9,1995,6,9,0,5600,,"73,300,000","104,714,286",EM-DAT,,,,,
Canada,1996,7,19,1996,7,22,10,12000,,"729,600,000","1,013,333,333",EM-DAT,,,,,
Canada,1997,4,24,1997,5,7,4,29000,,"120,000,000","162,162,162",EM-DAT,,,,,
Canada,2003,3,31,2003,4,3,2,170,,"10,000,000","11,904,762",EM-DAT,,,,,
Canada,2003,8,4,2003,8,5,0,400,,"10,000,000","11,904,762",EM-DAT,,,,,
Canada,2003,10,17,2003,10,26,2,800,,"15,000,000","17,857,143",EM-DAT,,,,,
Canada,2004,7,13,2004,7,16,0,0,,"200,000,000","229,885,057",EM-DAT,,,,,
Canada,2005,6,7,2005,7,1,4,5000,,"357,000,000","396,666,667",EM-DAT,,,,,
Canada,2006,4,11,2006,5,9,0,,,"12,000,000","13,043,478",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Canada,2011,4,4,2011,5,31,5,2000,,"800,000,000","776,699,029",EM-DAT,,,,,
Canada,2012,3,25,2012,3,30,0,1500,,"34,000,000","32,380,952",EM-DAT,,,,,
Canada,2013,6,20,2013,6,27,4,100000,,"5,700,000,000","5,327,102,804",EM-DAT,,,,,
Canada,2014,8,4,2014,8,4,0,6904,,"129,000,000","118,348,624",EM-DAT,,,,,
Canada,1986,7,18,1986,7,22,0,,,72000000000,"144,000,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Canada,1988,7,5,1988,7,7,,,,"7,000,000","12,962,963",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Canary Is,2002,3,31,2002,4,2,16,430,,"79,923,000","97,467,073",EM-DAT,,,,,
Caribbean,2001,11,7,2001,11,15,,,,"17,000,000","20,987,654",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Caribbean - Hurricanes Luis and Marilyn,1995,9,5,1995,9,18,20,,,"300,000,000","428,571,429",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
"Caribbean, USA",1989,2,1,1989,2,2,7,,,"2,600,000","4,561,404",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Chad,1988,8,20,1988,9,6,51,,,"900,000","1,666,667",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Chad,2001,8,19,2001,10,11,100,175763,,"1,000,000","1,234,568",EM-DAT,,,,,
Chad,2012,7,15,2012,9,24,20,594831,,"10,000,000","9,523,810",EM-DAT,,,,,
Chile,1965,7,1,1965,8,1,600,"350,000","25,000","10,000,000","71,428,571",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Chile,1974,6,,1974,7,1,32,"40,000",,"10,000,000","43,478,261",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present; EM-DAT,,,,,
Chile,1986,6,15,1986,6,15,23,54118,,"17,200,000","34,400,000",EM-DAT,,,,,
Chile,1987,7,17,1987,7,17,73,116364,,"177,000,000","340,384,615",EM-DAT,,,,,
Chile,1991,6,18,1991,6,19,120,,,"6,000,000","9,677,419",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Chile,1993,5,5,1993,5,5,109,3276,,"34,000,000","51,515,152",EM-DAT,,,,,
Chile,1997,6,10,1997,6,24,22,76800,,"182,400,000","246,486,486",EM-DAT,,,,,
Chile,2000,6,12,2000,6,26,15,139667,,"30,000,000","37,974,684",EM-DAT,,,,,
Chile,2001,2,16,2001,2,16,0,2559,,"8,900,000","10,987,654",EM-DAT,,,,,
Chile,2002,5,24,2002,6,5,14,221842,,"200,000,000","243,902,439",EM-DAT,,,,,
Chile,2008,8,29,2008,9,4,4,104755,,"23,000,000","23,232,323",EM-DAT,,,,,
Chile,2012,3,1,2012,3,15,0,4300,,"3,100,000","2,952,381",EM-DAT,,,,,
Chile,1993,5,3,1993,5,3,21,,,"12,500,000","18,939,394",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1966,6,11,1966,6,14,65,"8,561",2672,"8,000,000","53,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
China,1986,6,25,1986,8,24,,,,"1,200,000,000","2,400,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1986,7,21,1986,7,31,73,,,42248463,"84,496,926",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1987,5,19,1987,6,9,178,,,"108,000,000","207,692,308",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1988,6,11,1988,6,25,70,,,"10,800,000","20,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1988,7,21,1988,8,19,,,,"56,000,000","103,703,704",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1988,7,29,1988,8,5,264,,,"167,000,000","309,259,259",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1988,8,31,1988,9,6,58,,,256000000,"474,074,074",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1989,6,15,1989,6,30,3,,,"670,000","1,175,439",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1989,7,6,1989,7,10,1377,,,"16,000,000","28,070,175",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1989,7,27,1989,9,20,3000,,,"25,000,000","43,859,649",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1990,6,1,1990,7,5,363,"26,000,000","125,000","592,000,000",986666666.7,Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
China,1991,6,12,1991,6,14,22,,,"2,000,000","3,225,806",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1991,7,1,1991,7,18,750,,,"3,000,000,000","4,838,709,677",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1991,8,9,1991,8,12,456,,,"566,000,000","912,903,226",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1992,3,15,1992,5,2,59,,,"70,000,000","109,375,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1992,6,29,1992,7,14,228,,,"76,000,000","118,750,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1993,7,27,1993,8,1,41,,,"27,000,000","40,909,091",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1993,8,4,1993,8,23,101,,,"121,000,000","183,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1994,5,1,1994,5,3,95,,,"161,000,000","236,764,706",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1994,7,23,1994,8,13,128,,,"1,500,000,000","2,205,882,353",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1995,5,15,1995,8,15,1530,,,"14,400,000,000","20,571,428,571",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1997,6,3,1997,6,10,40,,,"1,000,000","1,351,351",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1997,6,8,1997,6,12,56,,,"160,000,000","216,216,216",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1998,5,12,1998,5,17,11,,,"48,000,000","64,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1998,5,16,1998,5,20,11,,,"3,600,000","4,800,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1998,5,20,1998,5,24,10,,,"18,000,000","24,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1998,5,20,1998,5,25,58,,,"247,000,000","329,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1998,5,20,1998,5,21,37,,,"14,400,000","19,200,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
China,1998,5,24,1998,6,1,15,,,"34,700,000","46,266,667",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1998,6,12,1998,8,30,126,,,"210,000,000,000","280,000,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1999,4,25,1999,6,29,49,,,"24,200,000","31,842,105",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1999,6,12,1999,6,19,27,,,"60,405","79,480",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1999,7,13,1999,7,15,2,,,"3,900,000","5,131,579",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1999,8,4,1999,8,7,8,,,"20,500,000","26,973,684",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2000,5,31,2000,6,19,94,,,"81,500,000","103,164,557",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2000,8,30,2000,9,10,31,,,"1,000,000","1,265,823",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2000,9,1,2000,9,6,47,,,"169,000,000","213,924,051",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2003,7,27,2003,10,10,,,,"6,890,000","8,202,381",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2004,5,13,2004,5,17,7,,,"53,500,000","61,494,253",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2004,7,17,2004,7,30,2,,,"51,200,000","58,850,575",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2004,8,12,2004,8,15,164,,,"2,200,000,000","2,528,735,632",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2005,5,28,2005,5,29,8,,,"4,600,000","5,111,111",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2005,7,10,2005,7,18,,,,"48,000,000","53,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2005,9,11,2005,9,13,16,,,"849,000,000","943,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2005,10,2,2005,10,6,95,,,"148,000,000","164,444,444",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2005,10,3,2005,10,6,16,,,"60,490,000","67,211,111",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,2,16,2006,2,23,0,,,"800,000","869,565",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,5,18,2006,5,22,23,,,"475,000,000","516,304,348",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,6,8,2006,6,15,21,,,"2,625,000","2,853,261",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,7,6,2006,7,17,24,,,"25,000,000","27,173,913",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,7,7,2006,7,11,8,,,"31,000,000","33,695,652",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,7,11,2006,7,19,629,,,"3,328,000,000","3,617,391,304",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,7,24,2006,7,28,36,,,"471,000","511,957",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2006,8,9,2006,8,12,441,,,"312,500,000","339,673,913",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2007,5,24,2007,5,26,43,,,"73,500,000","77,368,421",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2007,6,1,2007,6,6,0,,,"13,000,000","13,684,211",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2007,6,6,2007,8,17,600,,,"4,250,000,000","4,473,684,211",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2008,2,1,2008,2,25,0,,,"1,900,000","1,919,192",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2008,4,20,2008,4,23,,,,"4,130,000","4,171,717",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2008,5,2,2008,5,5,3,,,"19,000,000","19,191,919",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2008,7,28,2008,8,8,,,,"356,000,000","359,595,960",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2008,8,7,2008,8,11,20,,,"42,000,000","42,424,242",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1987,7,16,1987,7,21,2,,,"2,700,000","5,192,308",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1988,6,24,1988,6,28,65,,,"76,000,000","140,740,741",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1993,7,3,1993,7,31,367,,,"570,000,000","863,636,364",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,1993,7,26,1993,8,15,72,,,"220,000,000","333,333,333",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China,2005,5,30,2005,6,10,160,,,"383,000,000","425,555,556",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Caitlin,1991,7,23,1991,8,3,66,,,"364,000,000","587,096,774",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Fred,1994,8,21,1994,8,24,762,,,"1,260,000,000","1,852,941,176",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Gary,1992,7,22,1992,7,23,1,,,"120,000,000","187,500,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Hope,1989,7,20,1989,7,29,104,,,"54,000,000","94,736,842",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Tasha,1990,7,29,1990,8,4,108,,,"83,000,000",138333333.3,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Victor,1997,8,2,1997,8,7,65,,,"241,000,000","325,675,676",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Willie,1996,9,20,1996,10,1,38,,,"100,000,000","138,888,889",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Winnie,1997,8,15,1997,8,21,56,,,"2,675,000,000","3,614,864,865",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoon Zita,1997,8,19,1997,8,25,345,,,"433,000,000","585,135,135",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China - Typhoons Ophelia,1990,6,23,1990,6,29,86,,,"44,000,000",73333333.33,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
"China - Typhoons Yancy, Abe",1990,8,19,1990,9,8,559,,,"1,400,000,000",2333333333,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China -Typhoon York,1999,9,15,1999,9,18,8,,,"24,000,000","31,578,947",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
China P Rep,1980,6,,1980,6,,6200,67000,,"160,000,000","421,052,632",EM-DAT,,,,,
China P Rep,1981,7,14,1981,7,14,1311,1528140,,"1,100,000,000","2,619,047,619",EM-DAT,,,,,
China P Rep,1981,8,,1981,8,,764,1405000,,"1,200,000,000","2,857,142,857",EM-DAT,,,,,
China P Rep,1985,5,,1985,5,,283,14000,,"1,400,000","2,857,143",EM-DAT,,,,,
China P Rep,1985,8,,1985,8,,422,0,,"350,000,000","714,285,714",EM-DAT,,,,,
China P Rep,1985,8,,1985,8,,300,2000,,350000000,"714,285,714",EM-DAT,,,,,
China P Rep,1986,8,,1986,8,,80,2800000,,"1,500,000,000","3,000,000,000",EM-DAT,,,,,
China P Rep,1988,4,,1988,4,,577,22000200,,"1,063,564,000","1,969,562,963",EM-DAT,,,,,
China P Rep,1988,5,20,1988,5,20,158,2880000,,"91,644,000","169,711,111",EM-DAT,,,,,
China P Rep,1988,6,,1988,6,,22,35000,,"12,000,000","22,222,222",EM-DAT,,,,,
China P Rep,1988,9,,1988,9,,170,110000,,"540,000,000","1,000,000,000",EM-DAT,,,,,
China P Rep,1989,7,14,1989,8,10,2000,100010000,,2789000000,"4,892,982,456","EM-DAT,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html",,,,,
China P Rep,1990,7,4,1990,7,19,72,175000,,"211,000,000",351666666.7,EM-DAT,,,,,
China P Rep,1991,6,1,1991,7,19,1729,210232227,,"7,500,000,000","12,096,774,194",EM-DAT,,,,,
China P Rep,1991,9,7,1991,9,10,26,3500,,"14,120,000","22,774,194",EM-DAT,,,,,
China P Rep,1992,3,15,1992,4,23,248,210070,,"170,000,000","265,625,000",EM-DAT,,,,,
China P Rep,1992,6,12,1992,8,1,88,435300,,"3,700,000","5,781,250",EM-DAT,,,,,
China P Rep,1992,7,2,1992,7,21,96,31632,,"146,000,000","228,125,000",EM-DAT,,,,,
China P Rep,1992,7,22,1992,7,29,48,0,,"3,400,000","5,312,500",EM-DAT,,,,,
China P Rep,1992,8,1,1992,8,20,25,2433,,"110,000,000","171,875,000",EM-DAT,,,,,
